;wl 0;wl 0.25;wl 0.5;wl 0.75;wl 1;wl 1.25;wl 1.5;wl 1.75;wl 2;wl 2.25;wl 2.5;wl 2.75;wl 3;wl 4;wl 5;wl 6;wl 7
pn0;None;None;None;None;None;None;0,419194;0,983302;1,112634;1,14319;1,159025;1,168292;1,174888;1,164308;None;None;None
pn1;None;None;None;None;None;None;0,909049;1,120787;1,192497;1,212362;1,225649;1,235994;1,244623;1,277562;1,271964;None;None
pn2;None;None;None;None;None;None;1,113086;1,251938;1,298798;1,317797;1,33051;1,34165;1,352626;1,400648;1,467572;1,568372;None
pn3;None;None;None;None;None;1,101348;1,319857;1,380908;1,405816;1,416336;1,429868;1,446064;1,466989;1,590286;1,752369;1,974896;2,082941
pn4;None;None;None;None;1,054898;1,363837;1,443754;1,466574;1,483064;1,496611;1,522338;1,55601;1,593735;1,783417;2,018074;2,355077;2,581802
pn5;None;None;None;0,930991;1,417144;1,476589;1,49442;1,508376;1,528793;1,556522;1,596257;1,647195;1,70524;None;2,279189;None;3,009547
pn6;None;None;0,027481;1,405626;1,47255;1,490983;1,506182;1,528305;1,563807;1,604858;1,662479;1,728562;1,800138;2,108851;2,489043;2,901345;3,338262
pn7;None;0,030961;1,336948;1,456346;1,478819;1,495016;1,515656;1,545835;1,591894;1,645431;1,71251;1,78702;1,866899;2,202101;2,599331;3,025241;3,545092
pn8;None;1,169661;1,421848;1,459929;1,475133;1,49116;1,518083;1,556683;1,61043;1,67255;1,745782;1,824905;1,908859;2,256926;2,687259;3,089853;3,64437
pn9;None;1,35368;1,431932;1,450371;3,537924;1,485278;1,517391;1,559397;3,540732;1,686312;1,763086;1,844443;3,537925;3,53792;3,537927;3,537928;None
pn10;None;1,350125;1,41289;1,430393;1,445652;1,466418;1,495955;1,537501;1,596078;1,657949;1,729509;1,809048;1,893314;2,246033;2,624484;3,029796;3,540564
pn11;1,280354;1,383598;1,40623;1,419022;1,435945;1,46246;1,495671;1,54092;1,602021;1,66608;1,740159;1,813316;1,890183;2,22327;2,626965;2,993865;3,540564
pn12;1,290695;1,350812;1,368168;1,382493;1,39889;1,422719;1,457961;1,502164;1,56163;1,621878;1,689742;1,761034;1,834566;2,147267;2,54901;2,910077;3,445734
pn13;1,269756;1,314194;1,321881;1,340261;1,356509;1,381281;1,415785;1,456827;1,509212;1,56286;1,624326;1,688118;1,754511;2,035534;2,419676;2,80183;3,299811
pn14;1,193031;1,238508;1,252074;1,263371;1,277731;1,297726;1,326371;1,359706;1,406883;1,449477;1,499315;1,551589;1,604159;1,832446;2,149907;2,537421;3,000962
pn15;1,140391;1,202004;1,217869;1,22974;1,243437;1,261672;1,28461;1,314709;1,356079;1,394582;1,437506;1,481494;1,526491;1,722941;2,008125;2,384818;2,826285
pn16;1,096967;1,16933;1,185815;1,198334;1,212251;1,230533;1,252179;1,276402;1,306412;1,334565;1,369729;1,408042;1,44819;1,619239;1,862202;2,217919;2,620493
pn17;1,044606;1,148482;1,16341;1,1745;1,186183;1,20357;1,225726;1,25071;1,280486;1,305323;1,333934;1,363412;1,393842;1,529946;1,730077;2,051083;2,397351
pn18;0,999637;1,11225;1,132995;1,144477;1,153188;1,165275;1,179256;1,19542;1,217984;1,237945;1,262854;1,288972;1,316115;1,43416;1,577718;1,870433;2,166733
pn19;0,891179;1,060396;1,093783;1,103571;1,112245;1,122456;1,134296;1,148032;1,16735;1,183421;1,204239;1,226568;1,249044;1,348893;1,45749;1,677367;1,927101
pn20;0,777621;1,003655;1,046415;1,059676;1,067778;1,076511;1,086736;1,09856;1,11512;1,128082;1,145539;1,164284;1,183858;1,268359;1,357332;1,504437;1,706248
pn21;None;0,934439;0,996767;1,011613;1,01961;1,02728;1,035855;1,045568;1,059518;1,069174;1,083208;1,098449;1,114593;1,184295;1,260478;1,367023;1,512855
pn22;None;0,844386;0,937789;0,95847;0,966253;0,973061;0,980158;0,98746;0,99796;1,003789;1,013982;1,025207;1,037643;1,09436;1,155748;1,231807;1,33538
pn23;None;0,733373;0,867441;0,895035;0,904089;0,909539;0,914772;0,920239;0,928933;0,932228;0,939154;0,947369;0,956364;0,995655;1,040491;1,094572;1,166999
pn24;None;0,577694;0,763974;0,813786;0,826685;0,832468;0,836863;0,840893;0,84789;0,849462;0,85423;0,859401;0,864934;0,890809;0,920889;0,956476;1,003695
pn25;None;None;0,652897;0,716698;0,733011;0,739864;0,743463;0,746271;0,751786;0,75187;0,754703;0,757946;0,761798;0,778545;0,797214;0,818377;0,847116
pn26;None;None;0,518789;0,602235;0,625123;0,632866;0,63647;0,638784;0,64339;0,642419;0,644203;0,645864;0,648225;0,658305;0,668923;0,680128;0,692459
pn27;None;None;0,412662;0,505779;0,534954;0,544059;0,54842;0,550621;0,554662;0,552823;0,55372;0,554448;0,555435;0,560256;0,565362;0,570114;0,574916
pn28;None;None;0,231723;0,345899;0,379466;0,389798;0,393852;0,395658;0,39932;0,396983;0,397266;0,39745;0,397718;0,399124;0,400698;0,402107;0,405143
pn29;None;None;None;0,214252;0,247215;0,255451;0,258431;0,259818;0,263181;0,260567;0,260673;0,260707;0,260739;0,260882;0,261074;0,261254;0,263555
pn30;None;None;None;None;None;0,083689;0,109077;0,118021;0,124317;0,122705;0,123445;0,124016;0,124482;0,125495;0,125707;0,125899;0,146576
